,,S0,S0,S0,S0,S0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0,S0,S0,S0,S0,S0,S0,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-27,17:36:10.126,2.00,1.49,100.00,0.00,0.00,1196969733,0.00,-1,-1,1196969733,0.00,-1,-1,1196970457,0.00,-1,-1,1196970457,0.00,-1,-1,1196971377,0.00,-1,-1,1196971377,0.00,-1,-1,1196971540,0.00,-1,-1,1196971540,0.00,-1,-1,1196520735,100.00,-1,-1,1196520735,100.00,-1,-1,1196522286,100.00,-1,-1,1196522286,100.00,-1,-1,484790,29.59,29.68,46,247866,3.79,3.80,
2026-01-27,17:36:11.126,2.00,1.49,100.00,0.00,0.00,1197036384,0.00,-1,-1,1197036384,0.00,-1,-1,1197028338,0.00,-1,-1,1197028338,0.00,-1,-1,1197020319,0.00,-1,-1,1197020319,0.00,-1,-1,1197013466,0.00,-1,-1,1197013466,0.00,-1,-1,1196619162,100.00,-1,-1,1196619162,100.00,-1,-1,1196618610,100.00,-1,-1,1196618610,100.00,-1,-1,484667,29.58,29.64,46,248481,3.80,3.81,
2026-01-27,17:36:12.126,2.00,1.49,100.00,0.00,0.00,1197021492,0.00,-1,-1,1197021492,0.00,-1,-1,1197029561,0.00,-1,-1,1197029561,0.00,-1,-1,1197035164,0.00,-1,-1,1197035164,0.00,-1,-1,1197042367,0.00,-1,-1,1197042367,0.00,-1,-1,1196633214,100.00,-1,-1,1196633214,100.00,-1,-1,1196636337,100.00,-1,-1,1196636337,100.00,-1,-1,484539,29.57,29.66,46,245566,3.76,3.77,
2026-01-27,17:36:13.125,2.00,1.49,100.00,0.00,0.00,1196873564,0.00,-1,-1,1196873564,0.00,-1,-1,1196864934,0.00,-1,-1,1196864934,0.00,-1,-1,1196858895,0.00,-1,-1,1196858895,0.00,-1,-1,1196881163,0.00,-1,-1,1196881163,0.00,-1,-1,1196431425,100.00,-1,-1,1196431425,100.00,-1,-1,1196430648,100.00,-1,-1,1196430648,100.00,-1,-1,484568,29.58,29.63,46,246468,3.77,3.78,
2026-01-27,17:36:14.126,2.00,1.49,100.00,0.00,0.00,1198105186,0.00,-1,-1,1198105186,0.00,-1,-1,1198115905,0.00,-1,-1,1198115905,0.00,-1,-1,1198126170,0.00,-1,-1,1198126170,0.00,-1,-1,1198103677,0.00,-1,-1,1198103677,0.00,-1,-1,1197688603,100.00,-1,-1,1197688603,100.00,-1,-1,1197692299,100.00,-1,-1,1197692299,100.00,-1,-1,485112,29.61,29.67,46,246657,3.77,3.78,
2026-01-27,17:36:15.126,2.00,1.49,100.00,0.00,0.00,1196971215,0.00,-1,-1,1196971215,0.00,-1,-1,1196960526,0.00,-1,-1,1196960526,0.00,-1,-1,1196950290,0.00,-1,-1,1196950290,0.00,-1,-1,1196943051,0.00,-1,-1,1196943051,0.00,-1,-1,1196504885,100.00,-1,-1,1196504885,100.00,-1,-1,1196503606,100.00,-1,-1,1196503606,100.00,-1,-1,484905,29.60,29.66,46,247742,3.79,3.80,
2026-01-27,17:36:16.127,2.00,1.49,100.00,0.00,0.00,1198232208,0.00,-1,-1,1198232208,0.00,-1,-1,1198240593,0.00,-1,-1,1198240593,0.00,-1,-1,1198249851,0.00,-1,-1,1198249851,0.00,-1,-1,1198254792,0.00,-1,-1,1198254792,0.00,-1,-1,1197814530,100.00,-1,-1,1197814530,100.00,-1,-1,1197815820,100.00,-1,-1,1197815820,100.00,-1,-1,485320,29.62,29.68,46,248835,3.81,3.81,
2026-01-27,17:36:17.127,2.00,1.49,100.00,0.00,0.00,1197086889,0.00,-1,-1,1197086889,0.00,-1,-1,1197078398,0.00,-1,-1,1197078398,0.00,-1,-1,1197069014,0.00,-1,-1,1197069014,0.00,-1,-1,1197063875,0.00,-1,-1,1197063875,0.00,-1,-1,1196685335,100.00,-1,-1,1196685335,100.00,-1,-1,1196686150,100.00,-1,-1,1196686150,100.00,-1,-1,484243,29.56,29.62,46,248471,3.80,3.81,
2026-01-27,17:36:18.127,2.00,1.49,100.00,0.00,0.00,1197006183,0.00,-1,-1,1197006183,0.00,-1,-1,1197006643,0.00,-1,-1,1197006643,0.00,-1,-1,1197006616,0.00,-1,-1,1197006616,0.00,-1,-1,1197006711,0.00,-1,-1,1197006711,0.00,-1,-1,1196627286,100.00,-1,-1,1196627286,100.00,-1,-1,1196628968,100.00,-1,-1,1196628968,100.00,-1,-1,484299,29.56,29.65,46,247612,3.79,3.80,
2026-01-27,17:36:19.127,2.00,1.49,100.00,0.00,0.00,1197069513,0.00,-1,-1,1197069513,0.00,-1,-1,1197077687,0.00,-1,-1,1197077687,0.00,-1,-1,1197086855,0.00,-1,-1,1197086855,0.00,-1,-1,1197089757,0.00,-1,-1,1197089757,0.00,-1,-1,1196684160,100.00,-1,-1,1196684160,100.00,-1,-1,1196687274,100.00,-1,-1,1196687274,100.00,-1,-1,484899,29.60,29.66,46,247534,3.79,3.79,
