Core Power License 0: Core cycles where the core was running with power-delivery for baseline license level 0.  This includes non-AVX codes, SSE, AVX 128-bit, and low-current AVX 256-bit codes.
Core Power License 1: Core cycles where the core was running with power-delivery for license level 1.  This includes high current AVX 256-bit instructions as well as low current AVX 512-bit instructions.
Core Power License 2: Core cycles where the core was running with power-delivery for license level 2 (introduced in Skylake Server michroarchtecture). This includes high current AVX 512-bit instructions.
,,S0,S0,S0,S0,S0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0,S0,S0,S0,S0,S0,S0,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-27,17:41:47.395,2.00,1.48,100.00,0.00,0.00,1198261012,0.00,-1,-1,1198261012,0.00,-1,-1,1198283613,0.00,-1,-1,1198283613,0.00,-1,-1,1198305911,0.00,-1,-1,1198305911,0.00,-1,-1,1198326303,0.00,-1,-1,1198326303,0.00,-1,-1,1198080949,100.00,-1,-1,1198080949,100.00,-1,-1,1198090015,100.00,-1,-1,1198090015,100.00,-1,-1,484431,29.57,29.63,47,249763,3.82,3.83,
2026-01-27,17:41:48.396,2.00,1.49,100.00,0.00,0.00,1197314103,0.00,-1,-1,1197314103,0.00,-1,-1,1197314568,0.00,-1,-1,1197314568,0.00,-1,-1,1197314965,0.00,-1,-1,1197314965,0.00,-1,-1,1197317253,0.00,-1,-1,1197317253,0.00,-1,-1,1197067465,100.00,-1,-1,1197067465,100.00,-1,-1,1197076924,100.00,-1,-1,1197076924,100.00,-1,-1,482156,29.43,29.49,47,246665,3.77,3.78,
2026-01-27,17:41:49.395,2.00,1.48,100.00,0.00,0.00,1196982318,0.00,-1,-1,1196982318,0.00,-1,-1,1196982090,0.00,-1,-1,1196982090,0.00,-1,-1,1196981688,0.00,-1,-1,1196981688,0.00,-1,-1,1196981634,0.00,-1,-1,1196981634,0.00,-1,-1,1196602496,100.00,-1,-1,1196602496,100.00,-1,-1,1196603886,100.00,-1,-1,1196603886,100.00,-1,-1,483081,29.48,29.57,46,248934,3.81,3.82,
2026-01-27,17:41:50.396,2.00,1.48,100.00,0.00,0.00,1197469382,0.00,-1,-1,1197469382,0.00,-1,-1,1197469157,0.00,-1,-1,1197469157,0.00,-1,-1,1197468948,0.00,-1,-1,1197468948,0.00,-1,-1,1197468553,0.00,-1,-1,1197468553,0.00,-1,-1,1197127710,100.00,-1,-1,1197127710,100.00,-1,-1,1197133743,100.00,-1,-1,1197133743,100.00,-1,-1,483456,29.51,29.57,47,250236,3.83,3.84,
2026-01-27,17:41:51.396,2.00,1.49,100.00,0.00,0.00,1196942701,0.00,-1,-1,1196942701,0.00,-1,-1,1196943247,0.00,-1,-1,1196943247,0.00,-1,-1,1196943648,0.00,-1,-1,1196943648,0.00,-1,-1,1196944026,0.00,-1,-1,1196944026,0.00,-1,-1,1196563949,100.00,-1,-1,1196563949,100.00,-1,-1,1196565150,100.00,-1,-1,1196565150,100.00,-1,-1,482853,29.47,29.53,47,245647,3.76,3.77,
2026-01-27,17:41:52.396,2.00,1.50,100.00,0.00,0.00,1198073466,0.00,-1,-1,1198073466,0.00,-1,-1,1198101912,0.00,-1,-1,1198101912,0.00,-1,-1,1198102263,0.00,-1,-1,1198102263,0.00,-1,-1,1198102382,0.00,-1,-1,1198102382,0.00,-1,-1,1197692952,100.00,-1,-1,1197692952,100.00,-1,-1,1197693973,100.00,-1,-1,1197693973,100.00,-1,-1,483055,29.48,29.54,47,247230,3.78,3.79,
2026-01-27,17:41:53.396,2.00,1.48,100.00,0.00,0.00,1196954492,0.00,-1,-1,1196954492,0.00,-1,-1,1196925864,0.00,-1,-1,1196925864,0.00,-1,-1,1196925554,0.00,-1,-1,1196925554,0.00,-1,-1,1196925792,0.00,-1,-1,1196925792,0.00,-1,-1,1196543891,100.00,-1,-1,1196543891,100.00,-1,-1,1196545305,100.00,-1,-1,1196545305,100.00,-1,-1,483802,29.53,29.59,47,247509,3.79,3.79,
2026-01-27,17:41:54.397,2.00,1.50,100.00,0.00,0.00,1198274152,0.00,-1,-1,1198274152,0.00,-1,-1,1198274280,0.00,-1,-1,1198274280,0.00,-1,-1,1198274043,0.00,-1,-1,1198274043,0.00,-1,-1,1198273459,0.00,-1,-1,1198273459,0.00,-1,-1,1197861409,100.00,-1,-1,1197861409,100.00,-1,-1,1197862204,100.00,-1,-1,1197862204,100.00,-1,-1,483893,29.53,29.59,47,247750,3.79,3.80,
2026-01-27,17:41:55.397,2.00,1.50,100.00,0.00,0.00,1196893410,0.00,-1,-1,1196893410,0.00,-1,-1,1196893548,0.00,-1,-1,1196893548,0.00,-1,-1,1196893626,0.00,-1,-1,1196893626,0.00,-1,-1,1196893686,0.00,-1,-1,1196893686,0.00,-1,-1,1196486526,100.00,-1,-1,1196486526,100.00,-1,-1,1196487539,100.00,-1,-1,1196487539,100.00,-1,-1,481762,29.40,29.46,46,249881,3.82,3.83,
2026-01-27,17:41:56.398,2.00,1.49,100.00,0.00,0.00,1197989238,0.00,-1,-1,1197989238,0.00,-1,-1,1197997269,0.00,-1,-1,1197997269,0.00,-1,-1,1198005309,0.00,-1,-1,1198005309,0.00,-1,-1,1198013940,0.00,-1,-1,1198013940,0.00,-1,-1,1197603830,100.00,-1,-1,1197603830,100.00,-1,-1,1197606747,100.00,-1,-1,1197606747,100.00,-1,-1,483793,29.53,29.59,46,247412,3.79,3.79,
2026-01-27,17:41:57.398,2.00,1.49,100.00,0.00,0.00,1197038724,0.00,-1,-1,1197038724,0.00,-1,-1,1197030453,0.00,-1,-1,1197030453,0.00,-1,-1,1197022249,0.00,-1,-1,1197022249,0.00,-1,-1,1197013706,0.00,-1,-1,1197013706,0.00,-1,-1,1196633274,100.00,-1,-1,1196633274,100.00,-1,-1,1196634619,100.00,-1,-1,1196634619,100.00,-1,-1,483378,29.50,29.59,46,246785,3.78,3.79,
